scenario,scenario_name,offence,unit,limit_from,limit_to,fee
3,Cracked Trial,C,PPE,40,249,603.55
3,Cracked Trial,C,PPE,250,999,1427.49
3,Cracked Trial,C,PPE,1000,2799,3111.78
3,Cracked Trial,C,PPE,2800,4599,5686.2
3,Cracked Trial,C,PPE,4600,6399,8260.61
3,Cracked Trial,C,PPE,6400,8199,10835.03
3,Cracked Trial,C,PPE,8200,9999,13409.46
3,Cracked Trial,C,PPE,10000,,15982.45
3,Cracked Trial,D,DAY,0,2,988.25
3,Cracked Trial,D,PPE,0,79,988.25
3,Cracked Trial,D,PPE,80,249,988.25
3,Cracked Trial,D,PPE,250,999,2711.4
3,Cracked Trial,D,PPE,1000,2799,7292.66
3,Cracked Trial,D,PPE,2800,4599,13784.64
3,Cracked Trial,D,PPE,4600,6399,20276.61
3,Cracked Trial,D,PPE,6400,8199,25605.69
3,Cracked Trial,D,PPE,8200,9999,30930.77
3,Cracked Trial,D,PPE,10000,,36254.88
3,Cracked Trial,E,DAY,0,2,267.98
3,Cracked Trial,E,PPE,0,39,267.98
3,Cracked Trial,E,PPE,40,249,267.98
3,Cracked Trial,E,PPE,250,999,1234.38
3,Cracked Trial,E,PPE,1000,2799,2326.49
3,Cracked Trial,E,PPE,2800,4599,3425.21
3,Cracked Trial,E,PPE,4600,6399,4523.92
3,Cracked Trial,E,PPE,6400,8199,5622.64
3,Cracked Trial,E,PPE,8200,9999,6721.36
3,Cracked Trial,E,PPE,10000,,7819.46
3,Cracked Trial,F,DAY,0,2,257.85
3,Cracked Trial,F,PPE,0,49,257.85
3,Cracked Trial,F,PPE,50,249,257.85
3,Cracked Trial,F,PPE,250,999,1141.16
3,Cracked Trial,F,PPE,1000,2799,2484.02
3,Cracked Trial,F,PPE,2800,4599,3738.3
3,Cracked Trial,F,PPE,4600,6399,4992.57
3,Cracked Trial,F,PPE,6400,8199,6246.84
3,Cracked Trial,F,PPE,8200,9999,7501.12
3,Cracked Trial,F,PPE,10000,,8754.69
3,Cracked Trial,G,DAY,0,2,257.85
3,Cracked Trial,G,PPE,0,49,257.85
3,Cracked Trial,G,PPE,50,249,257.85
3,Cracked Trial,G,PPE,250,999,1141.16
3,Cracked Trial,G,PPE,1000,2799,2484.02
3,Cracked Trial,G,PPE,2800,4599,3738.3
3,Cracked Trial,G,PPE,4600,6399,4992.57
3,Cracked Trial,G,PPE,6400,8199,6246.84
3,Cracked Trial,G,PPE,8200,9999,7501.12
3,Cracked Trial,G,PPE,10000,,8754.69
3,Cracked Trial,H,DAY,0,2,272.55
3,Cracked Trial,H,PPE,0,39,272.55
3,Cracked Trial,H,PPE,40,249,272.55
3,Cracked Trial,H,PPE,250,999,1167.16
3,Cracked Trial,H,PPE,1000,2799,2333.75
3,Cracked Trial,H,PPE,2800,4599,3586.34
3,Cracked Trial,H,PPE,4600,6399,4838.92
3,Cracked Trial,H,PPE,6400,8199,6091.51
3,Cracked Trial,H,PPE,8200,9999,7344.1
3,Cracked Trial,H,PPE,10000,,8595.99
3,Cracked Trial,I,DAY,0,2,291.73
3,Cracked Trial,I,PPE,0,39,291.73
3,Cracked Trial,I,PPE,40,249,291.73
3,Cracked Trial,I,PPE,250,999,1534.85
3,Cracked Trial,I,PPE,1000,2799,3269.96
3,Cracked Trial,I,PPE,2800,4599,4885.41
3,Cracked Trial,I,PPE,4600,6399,6500.84
3,Cracked Trial,I,PPE,6400,8199,8116.28
3,Cracked Trial,I,PPE,8200,9999,9731.72
3,Cracked Trial,I,PPE,10000,,11346.25
3,Cracked Trial,J,DAY,0,2,1040.27
3,Cracked Trial,J,PPE,0,79,1040.27
3,Cracked Trial,J,PPE,80,249,1040.27
3,Cracked Trial,J,PPE,250,999,2858.58
3,Cracked Trial,J,PPE,1000,2799,7893.59
3,Cracked Trial,J,PPE,2800,4599,14956.44
3,Cracked Trial,J,PPE,4600,6399,22019.3
3,Cracked Trial,J,PPE,6400,8199,27626.04
3,Cracked Trial,J,PPE,8200,9999,33232.78
3,Cracked Trial,J,PPE,10000,,38836.4
3,Cracked Trial,K,DAY,0,2,889.94
3,Cracked Trial,K,PPE,0,119,889.94
3,Cracked Trial,K,PPE,120,249,889.94
3,Cracked Trial,K,PPE,250,999,1740.93
3,Cracked Trial,K,PPE,1000,2799,5505.06
3,Cracked Trial,K,PPE,2800,4599,13415.12
3,Cracked Trial,K,PPE,4600,6399,21325.2
3,Cracked Trial,K,PPE,6400,8199,28070.37
3,Cracked Trial,K,PPE,8200,9999,34815.54
3,Cracked Trial,K,PPE,10000,,41556.97
4,Trial,A,DAY,1,2,1687.72
4,Trial,A,PPE,0,79,1687.72
4,Trial,A,PPE,80,209,1687.72
4,Trial,A,PPE,210,699,3842.68
4,Trial,A,PPE,700,1049,10045.05
4,Trial,A,PPE,1050,1999,13763.56
4,Trial,A,PPE,2000,3599,22515.56
4,Trial,A,PPE,3600,5199,35987.17
4,Trial,A,PPE,5200,6799,49458.78
4,Trial,A,PPE,6800,8399,62930.4
4,Trial,A,PPE,8400,9999,76402.01
4,Trial,A,PPE,10000,,89865.2
4,Trial,B,DAY,1,2,1262.31
4,Trial,B,PPE,0,69,1262.31
4,Trial,B,PPE,70,199,1262.31
4,Trial,B,PPE,200,499,2927.25
4,Trial,B,PPE,500,899,6360.03
4,Trial,B,PPE,900,1299,10212.86
4,Trial,B,PPE,1300,1999,13449.68
4,Trial,B,PPE,2000,3299,18414.16
4,Trial,B,PPE,3300,4999,27633.89
4,Trial,B,PPE,5000,5999,39690.47
4,Trial,B,PPE,6000,7999,46782.58
4,Trial,B,PPE,8000,8999,60966.79
4,Trial,B,PPE,9000,9999,68058.89
4,Trial,B,PPE,10000,,75143.91
4,Trial,C,DAY,1,2,850.53
4,Trial,C,PPE,0,39,850.53
4,Trial,C,PPE,40,299,850.53
4,Trial,C,PPE,300,799,3597.48
4,Trial,C,PPE,800,1249,8212.68
4,Trial,C,PPE,1250,1999,11689.03
4,Trial,C,PPE,2000,3199,16811.87
4,Trial,C,PPE,3200,4559,22479.73
4,Trial,C,PPE,4560,5919,28903.32
4,Trial,C,PPE,5920,7279,35326.9
4,Trial,C,PPE,7280,8639,41750.48
4,Trial,C,PPE,8640,9999,48174.06
4,Trial,C,PPE,10000,,54592.94
4,Trial,D,DAY,1,2,1603.33
4,Trial,D,PPE,0,79,1603.33
4,Trial,D,PPE,80,209,1603.33
4,Trial,D,PPE,210,699,3650.54
4,Trial,D,PPE,700,1049,9542.8
4,Trial,D,PPE,1050,1999,13075.38
4,Trial,D,PPE,2000,3599,21389.78
4,Trial,D,PPE,3600,5199,34187.8
4,Trial,D,PPE,5200,6799,46985.83
4,Trial,D,PPE,6800,8399,59783.87
4,Trial,D,PPE,8400,9999,72581.9
4,Trial,D,PPE,10000,,85371.93
4,Trial,E,DAY,1,2,405.63
4,Trial,E,PPE,0,39,405.63
4,Trial,E,PPE,40,69,405.63
4,Trial,E,PPE,70,129,691.11
4,Trial,E,PPE,130,599,1205.49
4,Trial,E,PPE,600,1349,5102.65
4,Trial,E,PPE,1350,2999,9184.87
4,Trial,E,PPE,3000,4749,13125.68
4,Trial,E,PPE,4750,6499,17305.32
4,Trial,E,PPE,6500,8249,21484.95
4,Trial,E,PPE,8250,9999,25664.6
4,Trial,E,PPE,10000,,29841.84
4,Trial,F,DAY,1,2,411.24
4,Trial,F,PPE,0,49,411.24
4,Trial,F,PPE,50,229,411.24
4,Trial,F,PPE,230,699,1726.85
4,Trial,F,PPE,700,1399,5000.28
4,Trial,F,PPE,1400,1949,8919.44
4,Trial,F,PPE,1950,3549,11296.01
4,Trial,F,PPE,3550,5149,14744.05
4,Trial,F,PPE,5150,6749,18194.09
4,Trial,F,PPE,6750,8349,21643.13
4,Trial,F,PPE,8350,9999,25092.17
4,Trial,F,PPE,10000,,28646.85
4,Trial,G,DAY,1,2,411.24
4,Trial,G,PPE,0,49,411.24
4,Trial,G,PPE,50,229,411.24
4,Trial,G,PPE,230,699,1726.85
4,Trial,G,PPE,700,1399,5000.28
4,Trial,G,PPE,1400,1949,8919.44
4,Trial,G,PPE,1950,3549,11296.01
4,Trial,G,PPE,3550,5149,14744.05
4,Trial,G,PPE,5150,6749,18194.09
4,Trial,G,PPE,6750,8349,21643.13
4,Trial,G,PPE,8350,9999,25092.17
4,Trial,G,PPE,10000,,28646.85
4,Trial,H,DAY,1,2,411.41
4,Trial,H,PPE,0,39,411.41
4,Trial,H,PPE,40,249,411.41
4,Trial,H,PPE,250,619,2216.58
4,Trial,H,PPE,620,1299,4861.45
4,Trial,H,PPE,1300,2999,8472.4
4,Trial,H,PPE,3000,4999,15637.25
4,Trial,H,PPE,5000,5999,20183.5
4,Trial,H,PPE,6000,6999,22456.56
4,Trial,H,PPE,7000,7999,24729.69
4,Trial,H,PPE,8000,8999,27002.81
4,Trial,H,PPE,9000,9999,29275.94
4,Trial,H,PPE,10000,,31546.79
4,Trial,I,DAY,1,2,411.06
4,Trial,I,PPE,0,39,411.06
4,Trial,I,PPE,40,369,411.06
4,Trial,I,PPE,370,799,3427.28
4,Trial,I,PPE,800,1299,7336.05
4,Trial,I,PPE,1300,2699,11832.64
4,Trial,I,PPE,2700,4199,21751.25
4,Trial,I,PPE,4200,5359,26318.14
4,Trial,I,PPE,5360,6519,29849.87
4,Trial,I,PPE,6520,7679,33381.59
4,Trial,I,PPE,7680,8839,36913.33
4,Trial,I,PPE,8840,9999,40445.05
4,Trial,I,PPE,10000,,43973.73
4,Trial,J,DAY,1,2,1687.72
4,Trial,J,PPE,0,79,1687.72
4,Trial,J,PPE,80,209,1687.72
4,Trial,J,PPE,210,699,3842.68
4,Trial,J,PPE,700,1049,10045.05
4,Trial,J,PPE,1050,1999,13763.56
4,Trial,J,PPE,2000,3599,22515.56
4,Trial,J,PPE,3600,5199,35987.17
4,Trial,J,PPE,5200,6799,49458.78
4,Trial,J,PPE,6800,8399,62930.4
4,Trial,J,PPE,8400,9999,76402.01
4,Trial,J,PPE,10000,,89865.2
4,Trial,K,DAY,1,2,1186.59
4,Trial,K,PPE,0,119,1186.59
4,Trial,K,PPE,120,734,1186.59
4,Trial,K,PPE,735,1289,6510.83
4,Trial,K,PPE,1290,2399,11348.44
4,Trial,K,PPE,2400,4499,21197.3
4,Trial,K,PPE,4500,7999,39760.51
4,Trial,K,PPE,8000,8399,70699.17
4,Trial,K,PPE,8400,8799,74235.01
4,Trial,K,PPE,8800,9199,77770.85
4,Trial,K,PPE,9200,9599,81306.71
4,Trial,K,PPE,9600,9999,84842.55
4,Trial,K,PPE,10000,,88369.56
